event_id,event_type,event_date,customer_id,product_id,country,latitude,longitude,region,channel,payment_method,currency,quantity,unit_price_local,discount_code,discount_local,tax_local,net_revenue_local,fx_rate_to_usd,net_revenue_usd,is_refunded,refund_datetime,refund_reason
DB4F1A096586,order,2024-12-09 00:11:27,CUST0001946,PROD0083,United States,39.8283,-98.5795,,Website,Credit Card,USD,3,36.7,N/A,0.0,0.0,110.1,1.0,110.1,False,,
3550A69EEA36,order,2025-08-11 21:31:03,CUST0003776,PROD0049,Australia,-25.2744,133.7751,APAC,Website,Invoice,AUD,5,19.7,N/A,0.0,9.85,108.35,0.66,71.51,False,,
0C3CAE65E90C,order,2025-09-30 15:39:28,CUST0001105,PROD0075,Canada,56.1304,-106.3468,,Website,Credit Card,USD,1,20.12,N/A,0.0,1.01,21.13,1.0,21.13,False,,
7DDC83355865,invoice,2024-09-26 04:13:11,CUST0003164,PROD0017,United States,39.8283,-98.5795,,Partner,Credit Card,USD,10,19.0,N/A,0.0,0.0,190.0,1.0,190.0,False,,
DAE0B37D8815,order,2024-06-23 16:03:04,CUST0003410,PROD0099,United States,39.8283,-98.5795,,Website,Credit Card,USD,3,29.38,N/A,0.0,0.0,88.14,1.0,88.14,False,,
E3F98CFBAF5C,order,2025-03-18 12:36:16,CUST0001294,PROD0026,United States,39.8283,-98.5795,,Website,Wire,USD,25,289.0,N/A,0.0,0.0,7225.0,1.0,7225.0,False,,
D19DCEBB4953,invoice,2025-04-22 19:13:33,CUST0000333,PROD0059,Australia,-25.2744,133.7751,APAC,Partner,Credit Card,AUD,3,43.94,N/A,0.0,13.18,145.0,0.66,95.7,False,,
F820352D6944,order,2025-06-22 02:07:41,CUST0001698,PROD0100,Germany,51.1657,10.4515,EU,Website,Credit Card,EUR,20,298.37,N/A,0.0,1193.48,7160.88,1.06,7590.53,False,,
E772636C4653,invoice,2025-04-09 03:49:22,CUST0000584,PROD0027,Canada,56.1304,-106.3468,,Partner,Invoice,USD,1,7.0,NEWCUSTOMER10,0.7,0.35,6.65,1.0,6.65,False,,
E356FA390ABF,order,2025-05-19 09:48:48,CUST0000851,PROD0067,Brazil,-14.235,-51.9253,LATAM,Website,Invoice,USD,1,18.92,EDU10,1.89,2.84,19.87,1.0,19.87,False,,
D3422194A690,order,2025-09-05 13:37:31,CUST0003865,PROD0047,Germany,51.1657,10.4515,EU,Website,Credit Card,EUR,3,8.49,LOYALTY15,3.82,5.09,26.74,1.06,28.34,False,,
320EE3B43A80,order,2025-09-05 15:04:45,CUST0002670,PROD0055,United States,39.8283,-98.5795,,Website,Invoice,USD,3,6.0,N/A,0.0,0.0,18.0,1.0,18.0,False,,
C5D6838719B8,order,2025-09-11 18:28:08,CUST0001629,PROD0078,United Kingdom,55.3781,-3.436,EU,Website,Invoice,GBP,10,259.24,SAVE5,129.62,518.48,2981.26,1.22,3637.14,False,,
B79F91F0CC1D,invoice,2025-08-06 11:53:50,CUST0000689,PROD0075,Brazil,-14.235,-51.9253,LATAM,Direct Sales,Credit Card,USD,5,20.12,N/A,0.0,15.09,115.69,1.0,115.69,False,,
C59FA95A525F,order,2025-05-22 02:46:41,CUST0003838,PROD0074,United States,39.8283,-98.5795,,Direct Sales,Wire,USD,5,267.4,N/A,0.0,0.0,1337.0,1.0,1337.0,False,,
ED8AB30F122D,invoice,2025-09-07 04:39:40,CUST0003489,PROD0076,France,46.2276,2.2137,EU,Marketplace,Invoice,EUR,3,298.37,N/A,0.0,179.02,1074.13,1.06,1138.58,False,,
935E33CE47E2,invoice,2024-04-29 03:47:33,CUST0003886,PROD0053,Australia,-25.2744,133.7751,APAC,Website,Credit Card,AUD,3,43.94,N/A,0.0,13.18,145.0,0.66,95.7,False,,
1CCE87A24E84,invoice,2024-05-06 13:40:54,CUST0001261,PROD0003,United Kingdom,55.3781,-3.436,EU,Partner,Credit Card,GBP,1,23.77,N/A,0.0,4.75,28.52,1.22,34.79,False,,
D24FDF3EA5A6,order,2025-07-03 02:36:38,CUST0002686,PROD0033,Philippines,12.8797,121.774,APAC,Website,PayPal,USD,1,9.0,N/A,0.0,1.35,10.35,1.0,10.35,False,,
C95449B90D62,order,2024-12-17 14:41:08,CUST0000901,PROD0020,Spain,40.4637,-3.7492,EU,Website,Wire,EUR,20,135.85,NEWCUSTOMER10,271.7,543.4,2988.7,1.06,3168.02,False,,
6F9F5B82D91C,order,2025-06-06 00:06:21,CUST0002595,PROD0022,United States,39.8283,-98.5795,,Marketplace,PayPal,USD,1,96.0,N/A,0.0,0.0,96.0,1.0,96.0,False,,
E6900BBE14CF,order,2025-01-12 17:59:16,CUST0000141,PROD0020,Philippines,12.8797,121.774,APAC,Website,Wire,USD,10,144.0,N/A,0.0,216.0,1656.0,1.0,1656.0,False,,
1D6C21814459,order,2025-08-29 03:42:06,CUST0003970,PROD0012,Canada,56.1304,-106.3468,,Marketplace,Credit Card,USD,3,399.0,NEWCUSTOMER10,119.7,59.85,1137.15,1.0,1137.15,False,,
480CB5852BCD,invoice,2024-05-27 16:54:28,CUST0001867,PROD0087,Australia,-25.2744,133.7751,APAC,Reseller,Invoice,AUD,1,22.67,BFCM10,2.27,2.27,22.67,0.66,14.96,False,,
EF44AC733FC8,order,2025-04-26 03:36:05,CUST0003110,PROD0076,United Kingdom,55.3781,-3.436,EU,Website,Credit Card,GBP,5,259.24,N/A,0.0,259.24,1555.44,1.22,1897.64,False,,
E6A363932C04,order,2024-04-25 01:59:37,CUST0001526,PROD0002,United States,39.8283,-98.5795,,Direct Sales,Credit Card,USD,10,499.0,N/A,0.0,0.0,4990.0,1.0,4990.0,False,,
1C970BAE4D97,invoice,2024-07-12 03:28:16,CUST0001256,PROD0019,Canada,56.1304,-106.3468,,Marketplace,Credit Card,USD,3,15.0,BFCM20,9.0,2.25,38.25,1.0,38.25,False,,
8BA561914D85,order,2025-07-21 04:19:59,CUST0003541,PROD0025,United Kingdom,55.3781,-3.436,EU,Reseller,Invoice,GBP,1,23.77,BFCM10,2.38,4.75,26.14,1.22,31.89,False,,
E5BE91BB5FBF,order,2024-09-29 07:18:41,CUST0003154,PROD0029,United Kingdom,55.3781,-3.436,EU,Website,PayPal,GBP,1,4.1,N/A,0.0,0.82,4.92,1.22,6.0,False,,
